companyUrl,companyName,country,category,notes
https://www.linkedin.com/company/lemlist/,Lemlist,France,Sales automation,100 profiles found
https://www.linkedin.com/company/la-growth-machine/,La Growth Machine,France,Multichannel outreach,0 profiles in scope
https://www.linkedin.com/company/waalaxy/,Waalaxy,France,LinkedIn automation,14 profiles found
https://www.linkedin.com/company/captain-data/,Captain Data,France,Web scraping & automation,11 profiles found
https://www.linkedin.com/company/kaspr/,Kaspr,France,LinkedIn data enrichment,10 profiles found
https://www.linkedin.com/company/dropcontact/,Dropcontact,France,Email enrichment,10 profiles found
https://www.linkedin.com/company/evaboot/,Evaboot,France,LinkedIn export,0 profiles in scope
https://www.linkedin.com/company/emelia-io/,Emelia,France,Cold email,0 profiles in scope
https://www.linkedin.com/company/make-hq/,Make (ex-Integromat),France,Workflow automation,0 profiles in scope
https://www.linkedin.com/company/plezi/,Plezi,France,Marketing automation,0 profiles in scope
https://www.linkedin.com/company/clay-hq/,Clay,USA (FR team),Data enrichment & automation,0 profiles in scope
https://www.linkedin.com/company/unipile/,Unipile,France,Messaging API,0 profiles in scope
https://www.linkedin.com/company/datananas/,Datananas,France,Sales automation,0 profiles in scope
https://www.linkedin.com/company/surfe/,Surfe,France,CRM enrichment,31 profiles found
https://www.linkedin.com/company/snitcher-io/,Snitcher,France,Website visitor identification,0 profiles in scope
https://www.linkedin.com/company/rowshq/,Rows,Portugal,Spreadsheet automation,2 profiles found
https://www.linkedin.com/company/talkdesk/,Talkdesk,Portugal,CX automation,0 profiles in scope
https://www.linkedin.com/company/feedzai/,Feedzai,Portugal,Risk automation,0 profiles in scope
https://www.linkedin.com/company/infraspeak/,Infraspeak,Portugal,Facility management SaaS,0 profiles in scope
https://www.linkedin.com/company/coverflex/,Coverflex,Portugal,HR & benefits automation,1 profile found
https://www.linkedin.com/company/typeform/,Typeform,Spain,Form & data collection,0 profiles in scope
https://www.linkedin.com/company/factorialhr/,Factorial,Spain,HR automation,0 profiles in scope
https://www.linkedin.com/company/holded/,Holded,Spain,Business automation,0 profiles in scope
https://www.linkedin.com/company/kenjo-app/,Kenjo,Spain,HR SaaS,0 profiles in scope
https://www.linkedin.com/company/pipefy/,Pipefy,Spain/LATAM,Process automation,0 profiles in scope
https://www.linkedin.com/company/pandadoc/,PandaDoc,Spain team,Document automation,0 profiles in scope
https://www.linkedin.com/company/babelforce/,Babelforce,Spain,Contact centre automation,0 profiles in scope
https://www.linkedin.com/company/workato/,Workato,USA (ES team),Enterprise automation,0 profiles in scope
